form_id,lexeme,cell,source_form,orth_form,analysed_orth_form,phon_form,analysed_phon_form,variants_tag,source,page,language_id
mizo214,mu,3.sg.2.sg.nfut.aff,á m̥ù tsé,á Σ tsé,á+Σ+tsé,a ⁵ Σ ts e ⁵,a ⁵ + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo215,ei,3.sg.2.pl.nfut.aff,à éi tsé ú,à Σ tsé ú,à+Σ+tsé+ú,a ¹ Σ ts e ⁵ u ⁵,a ¹ + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo216,mu,3.sg.2.pl.nfut.aff,á m̥ù tsé ú,á Σ tsé ú,á+Σ+tsé+ú,a ⁵ Σ ts e ⁵ u ⁵,a ⁵ + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo217,ei,3.pl.2.sg.nfut.aff,àn éi tsé,àn Σ tsé,à+n+Σ+tsé,a ¹ n Σ ts e ⁵,a ¹ + n + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo218,mu,3.pl.2.sg.nfut.aff,ǎn m̥ù tsé,ǎn Σ tsé,ǎ+n+Σ+tsé,a ¹⁵ n Σ ts e ⁵,a ¹⁵ + n + Σ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo219,ei,3.pl.2.pl.nfut.aff,àn éi tsé ú,àn Σ tsé ú,à+n+Σ+tsé+ú,a ¹ n Σ ts e ⁵ u ⁵,a ¹ + n + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo220,mu,3.pl.2.pl.nfut.aff,ǎn m̥ù tsé ú,ǎn Σ tsé ú,ǎ+n+Σ+tsé+ú,a ¹⁵ n Σ ts e ⁵ u ⁵,a ¹⁵ + n + Σ + ts e ⁵ + u ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo221,ei,3.sg.3.sg.nfut.aff,kà éi,kà Σ,à+Σ,a ¹ Σ,a ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo222,mu,3.sg.3.sg.nfut.aff,á m̥ù,á Σ,á+Σ,a ⁵ Σ,a ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo223,ei,3.sg.3.pl.nfut.aff,à éi,à Σ,à+Σ,a ¹ Σ,a ¹ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo224,mu,3.sg.3.pl.nfut.aff,á m̥ù,á Σ,á+Σ,a ⁵ Σ,a ⁵ + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo225,ei,3.pl.3.sg.nfut.aff,àn éi,àn Σ,à+n+Σ,a ¹ n Σ,a ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo226,mu,3.pl.3.sg.nfut.aff,ǎn m̥ù,ǎn Σ,ǎ+n+Σ,a ¹⁵ n Σ,a ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo227,ei,3.pl.3.pl.nfut.aff,àn éi,àn Σ,à+n+Σ,a ¹ n Σ,a ¹ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo228,mu,3.pl.3.pl.nfut.aff,ǎn m̥ù,ǎn Σ,ǎ+n+Σ,a ¹⁵ n Σ,a ¹⁵ + n + Σ,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo229,kal,1.sg.nfut.neg,kà kál lòu,kà Σ lòu,kà+Σ+lòu,k a ¹ Σ l ou ¹,k a ¹ + Σ + l ou ¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo230,tʰo:,1.sg.nfut.neg,ká tʰò lòu,ká Σ lòu,ká+Σ+lòu,k a ⁵ Σ l ou ¹,k a ⁵ + Σ + l ou ¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo231,kal,1.pl.nfut.neg,kàn kál lòu,kàn Σ lòu,kà+n+Σ+lòu,k a ¹ n Σ l ou ¹,k a ¹ + n + Σ + l ou ¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo232,tʰo:,1.pl.nfut.neg,kǎn tʰò lòu,kǎn Σ lòu,kǎ+n+Σ+lòu,k a ¹⁵ n Σ l ou ¹,k a ¹⁵ + n + Σ + l ou ¹,unspecified,Lalhminghlui2026Mizo,nopage,mizo
mizo233,ei,1.sg.2.sg.nfut.neg,kà éi lòu tsé,kà Σ lòu tsé,kà+Σ+lòu+tsé,k a ¹ Σ l ou ¹ ts e ⁵,k a ¹ + Σ + l ou ¹ + ts e ⁵,unspecified,Lalhminghlui2026Mizo,nopage,mizo
